SL NO,Date,TRADING CODE,Close,YCP*
102,12/2/2019,ACI,272.5,274.6
103,12/1/2019,ACI,274.6,271.9
104,11/28/2019,ACI,271.9,265.9
105,11/27/2019,ACI,265.9,268.1
106,11/26/2019,ACI,268.1,262.3
107,11/25/2019,ACI,262.3,244.7
108,11/24/2019,ACI,244.7,235.7
109,11/21/2019,ACI,235.7,231.3
110,11/20/2019,ACI,231.3,230.3
111,11/19/2019,ACI,230.3,230.2
112,11/18/2019,ACI,230.2,233.9
113,11/17/2019,ACI,233.9,232.9
114,11/14/2019,ACI,232.9,232.5
115,11/13/2019,ACI,232.5,242.5
116,11/12/2019,ACI,242.5,229.2
117,11/11/2019,ACI,229.2,237.9
118,11/7/2019,ACI,237.9,227.8
119,11/6/2019,ACI,227.8,223.9
120,11/5/2019,ACI,223.9,224.6
121,11/4/2019,ACI,224.6,224.1
122,11/3/2019,ACI,224.1,217.7
123,10/31/2019,ACI,217.7,217.7
124,10/30/2019,ACI,217.7,219.4
125,10/29/2019,ACI,219.4,226.4
126,10/28/2019,ACI,226.4,231.9
127,10/27/2019,ACI,231.9,229.7
128,10/24/2019,ACI,229.7,217.8
129,10/23/2019,ACI,217.8,219.3
130,10/22/2019,ACI,219.3,227
131,10/21/2019,ACI,227,229.7
132,10/20/2019,ACI,229.7,228.9
133,10/17/2019,ACI,228.9,229.9
134,10/16/2019,ACI,229.9,236.1
135,10/15/2019,ACI,236.1,230.1
136,10/14/2019,ACI,230.1,240.4
137,10/13/2019,ACI,240.4,250.1
138,10/10/2019,ACI,250.1,253.7
139,10/9/2019,ACI,253.7,253.8
140,10/7/2019,ACI,253.8,256.5
141,10/6/2019,ACI,256.5,257.6
142,10/3/2019,ACI,257.6,255.5
143,10/2/2019,ACI,255.5,260.3
144,10/1/2019,ACI,260.3,255.2
145,9/30/2019,ACI,255.2,259.1
146,9/29/2019,ACI,259.1,257.6
147,9/26/2019,ACI,257.6,259.9
148,9/25/2019,ACI,259.9,261.8
149,9/24/2019,ACI,261.8,264.8
150,9/23/2019,ACI,264.8,264.1
151,9/22/2019,ACI,264.1,262.9
152,9/19/2019,ACI,262.9,262.3
153,9/18/2019,ACI,262.3,269.6
154,9/17/2019,ACI,269.6,270.6
